#OK
#SQL= 
#	with MyHalo as (
#	     select * from miniMDR1..FOF
#	        where snapnum=85
#		and fofId=85000004639
#	),
#	
#	fofHaloParticles as (
#	    select fP.* from miniMDR1..FOFParticles fP,
#	            MyHalo mH
#	        where fP.fofId = mH.fofId
#	            and fP.snapnum=85
#	)
#	
#	select p.* from fofHaloParticles hP, miniMDR1..particles p
#	    where p.particleId = hP.particleId
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2014-12-10 22:32:00.303 CET
#QUERYTIME 670 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857517084149,85,391.0308,467.0688,878.7993,-222.4223,510.4199,1001.7878,993939395
857517084150,85,391.0695,466.8811,879.2982,-475.3833,-79.0354,668.4763,993939390
857517084157,85,390.9333,466.9356,878.1652,-1343.425,642.6332,1547.777,993939395
857517084158,85,390.7397,466.8456,878.8312,-1506.1387,-453.9214,845.2555,993939395
857517084159,85,390.6677,466.6928,878.8958,-1488.6364,-874.6451,399.2988,993939418
857517084160,85,390.6357,466.458,879.1129,-1129.2671,-877.0209,171.1575,993939329
857517084165,85,391.1994,466.881,877.8676,-1540.2861,482.39,1020.2864,993939394
857517084166,85,390.8868,466.9658,878.5613,-2069.705,-538.9662,916.0351,993939395
857517084167,85,390.9252,467.0154,878.4996,-1970.648,-806.9976,954.3293,993939395
857517084168,85,391.2879,467.2065,877.7298,-1631.0812,-93.2304,813.5571,993939394
857517084174,85,391.5145,467.0331,877.9966,-1807.559,55.081,785.1932,993939395
857516084867,85,391.2913,466.2878,879.0179,-826.7526,744.7548,-1067.6737,993939329
857516101209,85,390.3522,467.1697,878.5538,-1167.6931,-1245.1736,138.1805,993939486
857516101217,85,390.7631,466.7379,878.5217,-1253.6809,-1485.6973,494.6015,993939418
857516101225,85,391.4414,466.9144,878.0071,-2133.5925,-660.206,534.7812,993939395
857517067659,85,390.8362,467.3669,878.92,-1451.4836,1070.1396,580.9834,993939390
857517067660,85,390.9611,467.1955,878.5286,-97.6034,220.7932,1174.6006,993939395
857517067666,85,391.7782,466.0142,878.17,-990.4518,1236.5111,309.0406,993939419
857517067667,85,391.0875,467.3564,878.917,-1650.737,1421.0963,45.6926,993939390
857517067668,85,390.7359,467.8165,879.0634,-1446.045,1229.0604,-78.5776,993939391
857517067669,85,390.7886,467.6928,878.9862,-1425.802,1260.1312,-5.8502,993939390
857517067670,85,391.1364,467.1495,878.779,45.4093,175.2153,893.4387,993939395
857517067675,85,391.6931,466.1504,878.2042,-1053.5299,1229.0408,393.679,993939419
857517067677,85,390.8529,467.834,878.9643,-1427.9708,1357.6133,-326.6763,993939391
857517067678,85,390.834,467.8804,879.0312,-1250.8444,1323.5862,-50.7331,993939391
857517067680,85,391.0586,467.4602,878.8382,86.5798,-317.4341,317.5221,993939395
857517067684,85,391.7089,465.9903,878.0995,-1004.3274,1182.1886,372.2724,993939419
857517067685,85,390.9879,467.546,878.8911,-1452.6488,1463.2266,-221.3447,993939395
857517067686,85,390.9974,467.5694,878.8807,-1382.5015,1486.3939,-273.0005,993939395
857517067694,85,391.5443,466.1436,878.3097,-1033.0187,1313.1417,384.1508,993939418
857517067703,85,391.3715,466.499,878.6332,-1122.9519,1609.8542,324.6019,993939418
857517067711,85,391.6001,465.7286,878.2187,-979.6587,1174.77,263.6442,993939417
857517067712,85,391.1827,466.8266,878.6992,-1186.8652,1931.527,205.4141,993939395
857517067720,85,391.2654,466.4326,878.53,-1009.772,1614.1191,376.1371,993939418
857517084065,85,390.8118,467.6007,878.7205,43.1643,-216.3569,294.986,993939395
857517084175,85,391.3953,467.1567,877.8,-1700.7994,-63.7968,790.0004,993939394
857517100505,85,391.0713,466.8285,879.033,336.2272,-564.0911,-537.3403,993939390
857517100506,85,391.037,466.8078,878.9905,377.8941,-562.9779,-488.0844,993939390
857517100513,85,391.8571,466.1518,878.6863,-284.5088,133.547,-923.7034,993939419
857517100515,85,391.5917,465.7958,878.8056,-206.5729,-404.227,-654.8051,993939417
857517100524,85,391.0071,466.0634,879.3289,-334.5711,-652.9907,13.3932,993939329
857517100526,85,390.9786,466.4146,879.0156,49.4783,-718.2936,-201.8036,993939329
857517100527,85,390.1877,467.125,878.545,-410.2944,-689.1257,278.7108,993939486
857517100528,85,390.634,466.6762,878.8404,95.2739,-671.4599,118.0478,993939418
857517100531,85,390.8398,466.4834,879.2148,-187.6657,-672.8138,142.0766,993939329
857517100532,85,390.7177,466.6034,879.1282,-212.9732,-788.9039,204.6352,993939329
857517100533,85,390.7051,466.5328,879.1529,-311.0654,-791.029,210.4826,993939329
857517100536,85,391.7712,465.924,879.0761,-43.2604,-228.8995,-485.318,993939330
857517100538,85,390.8887,466.2671,879.1337,-184.9318,-761.8478,-110.2233,993939329
857517100539,85,390.7479,466.6236,879.1038,-165.204,-778.9338,221.8844,993939329
857517100540,85,390.7137,466.589,879.102,-227.076,-832.4466,199.9069,993939329
857517100541,85,390.6315,466.6763,879.0321,-263.864,-851.0955,246.8553,993939329
857517100542,85,390.8093,466.4161,879.1476,-286.5168,-787.0102,45.9315,993939329
857517100545,85,390.7325,466.7458,878.8231,-1121.7836,-1101.7859,464.7441,993939418
857517100546,85,390.8756,466.0742,879.2656,-365.4855,-785.6642,-165.246,993939329
857517100547,85,390.7128,466.6547,879.0135,-102.3514,-791.5029,179.5675,993939329
857517100548,85,390.6087,466.7477,878.9631,-255.4089,-854.3299,278.897,993939672
857517100549,85,390.6437,466.6729,878.9955,-248.1114,-867.6002,220.5234,993939329
857517100551,85,391.3659,467.2705,878.5036,-612.7617,-387.2158,-1441.7246,993939395
857517100552,85,391.4716,467.0043,880.5092,-162.7441,278.2258,-114.2278,993939385
857517100553,85,391.1663,467.1835,877.8354,-1673.608,-196.2145,906.1097,993939394
857517100557,85,391.0179,467.0915,878.425,538.0298,-37.8963,-1540.933,993939395
857517100558,85,391.1924,466.953,879.751,-546.7359,625.9818,-855.279,993939390
857517100560,85,391.3039,466.988,879.7008,-459.7732,239.4049,-947.8339,993939390
857517100561,85,391.6673,467.0563,877.5779,-1648.396,-49.1202,641.3018,993939397
857517100564,85,391.378,466.968,878.924,-294.2411,624.5305,-1537.6597,993939390
857517100565,85,391.3688,467.1071,878.8766,-1449.8601,139.7005,-1202.0872,993939395
857517100566,85,391.2568,466.6057,879.8995,-599.7136,359.6146,-634.3772,993939334
857517100568,85,391.1695,466.9165,880.2991,-477.3811,358.2037,-513.6742,993939385
857517100569,85,391.4758,466.8594,877.9063,-1978.911,-83.5942,727.2549,993939394
857517100570,85,392.0867,466.6492,877.5829,-1706.1421,-115.4539,446.1675,993939420
857517100573,85,390.8364,466.8943,878.1674,-1445.8673,-961.2759,-1403.721,993939395
857517100574,85,391.0083,466.5443,878.0662,-710.7589,-442.4776,-674.3135,993939418
857517100579,85,392.0216,466.5388,877.7173,-1842.1115,-85.6991,449.416,993939420
857517100582,85,390.9409,467.2445,878.2484,-1474.7603,-466.6163,-1571.0485,993939395
857517100584,85,391.428,467.3427,878.9379,-1236.9163,-38.5647,-1252.8534,993939390
857517100590,85,391.6287,467.1921,879.75,-788.3748,834.154,-585.8766,993939389
857517100591,85,390.8433,466.9539,878.1057,-963.1423,-1086.8356,-1355.9525,993939395
857517100592,85,391.1787,467.1017,878.5267,-1188.2152,-299.7824,-1813.7589,993939395
857517100597,85,391.94,466.2566,878.2166,-2010.4905,-31.4619,320.378,993939419
857517100600,85,390.8649,467.0949,878.1949,-1311.082,-1008.0245,-1424.1771,993939395
857517100606,85,391.7837,466.3151,878.1716,-2021.1766,-14.6929,403.623,993939419
857517100615,85,391.467,465.9358,877.8421,-1660.9694,47.9407,627.1873,993939421
857517100616,85,390.9995,466.1632,878.5145,-1742.8511,491.1266,723.1595,993939418
857517100623,85,391.8523,466.0565,877.5452,-1764.2373,2.6101,542.9728,993939420
857517100624,85,391.6916,465.9198,878.1973,-1549.4602,432.7691,725.8375,993939419
857517100632,85,391.8752,465.9934,878.4706,-1673.3179,304.6611,497.5928,993939419
857517116905,85,390.815,466.5565,878.9229,235.2775,-565.7532,-39.0804,993939329
857517116906,85,390.8132,466.5691,878.9186,244.9405,-549.55,-26.6263,993939329
857517116913,85,391.7423,465.9171,879.0455,-230.3843,-6.5331,-590.6551,993939330
857517116914,85,391.7478,466.0517,879.1453,25.8604,-249.6004,-466.0872,993939330
857517116924,85,390.0027,466.8758,878.4542,-321.9868,-404.3273,294.5802,993939486
857517116933,85,391.385,466.3953,879.0834,277.6907,-60.3931,-139.5951,993939329
857517116934,85,391.5728,466.4011,879.25,140.5434,138.9639,-119.7945,993939329
857517116935,85,391.0368,466.4142,879.0507,61.2329,323.9038,243.7706,993939329
857517116936,85,390.7866,466.4362,879.0085,65.925,287.2982,322.245,993939329
857517116937,85,391.3828,466.6085,880.0192,-719.2086,595.8961,-605.8816,993939334
857517116942,85,391.3604,467.169,880.1356,-213.2234,359.0112,-190.6479,993939385
857517116944,85,391.3137,466.5904,879.2822,55.6452,476.3465,61.2324,993939329
857517116945,85,391.4836,466.8322,879.7584,-842.2086,598.4373,-645.2261,993939390
857517116946,85,390.9594,466.9679,878.161,-1454.6184,54.1858,-2018.421,993939395
857517116950,85,391.0542,466.9179,879.0854,-806.0905,328.691,-1328.082,993939390
857517116953,85,391.4551,466.667,880.2654,-543.9722,381.4763,-660.4083,993939334
857517116957,85,391.4518,467.0298,880.2309,-896.2492,109.4879,-489.8986,993939385
857517116958,85,391.4832,466.9139,880.2176,-778.5598,153.8671,-545.2374,993939385
857517116959,85,391.1026,466.9498,879.1525,-1098.8561,578.2518,-1089.1946,993939390
